Date,Open,High,Low,Close,Adj Close,Volume
2022-06-01,44.770000,44.930000,43.529999,44.110001,43.669144,29885500
2022-06-02,44.189999,44.880001,43.939999,44.840000,44.391846,28727600
2022-06-03,44.110001,44.250000,43.340000,43.389999,42.956337,33174700
2022-06-06,43.810001,44.040001,43.080002,43.340000,42.906837,25437100
2022-06-07,43.060001,43.590000,42.660000,43.529999,43.094936,25168700
2022-06-08,42.250000,42.259998,41.029999,41.230000,40.817924,59649900
2022-06-09,41.009998,41.349998,40.009998,40.009998,39.610119,39047200
2022-06-10,39.849998,40.080002,39.180000,39.180000,38.788414,43066200
2022-06-13,38.549999,38.810001,37.669998,37.770000,37.392509,50335900
2022-06-14,38.009998,38.200001,37.540001,37.930000,37.550907,31351700
2022-06-15,38.560001,39.169998,37.919998,38.650002,38.263714,37652300
2022-06-16,37.700001,37.790001,36.930000,37.340000,36.966805,45576500
2022-06-17,37.480000,38.119999,36.599998,36.970001,36.600506,71393200
2022-06-21,37.360001,38.029999,37.330002,37.730000,37.352905,34004900
2022-06-22,37.330002,37.770000,37.220001,37.380001,37.006405,32571000
2022-06-23,37.610001,37.619999,36.910000,37.410000,37.036106,30163000
2022-06-24,37.849998,38.639999,37.740002,38.610001,38.224113,38159900
2022-06-27,38.869999,39.060001,38.470001,38.630001,38.243912,29585300
2022-06-28,38.580002,39.020000,37.740002,37.779999,37.402405,37824200
2022-06-29,37.540001,37.599998,37.020000,37.290001,36.917305,25437200
2022-06-30,37.209999,38.000000,36.730000,37.410000,37.036106,35141000
2022-07-01,37.090000,37.200001,35.880001,36.340000,35.976799,40596300
2022-07-05,35.930000,36.740002,35.540001,36.689999,36.323299,33215000
2022-07-06,36.820000,37.419998,36.459999,36.990002,36.620304,26258300
2022-07-07,37.889999,38.330002,37.730000,38.139999,37.758808,33165400
2022-07-08,37.660000,38.139999,37.389999,37.990002,37.610310,22566300
2022-07-11,37.660000,37.669998,37.029999,37.200001,36.828205,25904300
2022-07-12,37.650002,37.700001,36.990002,37.209999,36.838104,30546300
